Date;ACA.PA;AF.PA;AI.PA;AIR.PA;ALO.PA;ALT.PA;BN.PA;BNP.PA;BOL.PA;CNP.PA;CS.PA;DG.PA;FP.PA;GLE.PA;ING.PA;KN.PA;LI.PA;LR.PA;MAU.PA;ORA.PA;RNO.PA;RXL.PA;SAF.PA;SCR.PA;SEV.PA;STM.PA;SU.PA;UG.PA;VIE.PA;VIV.PA;VK.PA;ZC.PA
2010-01-04;0.015090172564837393;0.02594118919366263;-0.02020328389998619;-0.0032218656151681885;0.0027136742402134677;-0.007002450760731495;-0.008714350963357261;-0.0019235247037072438;0.0;0.0014298118093665306;0.016529497661972925;0.007600677194382743;0.0011998682298230627;-0.006489948894787612;0.01740176854326426;0.046282030704573256;0.0018757328482395985;0.003665263314769958;0.012379400075434971;-0.00225472722243312;0.0028753911602886375;0.025698327603870735;0.047191817669363166;0.009838396041217091;0.010628426718955053;-0.00015453431448530356;-0.004863190900543556;0.008728794452399467;0.007679225215332314;-0.00023667610404011903;0.013798778663450981;-0.003237142810140313
2010-01-05;0.017510769688234992;0.02697654311423522;-0.006177517093136143;0.00892391646291479;0.005982744006590586;0.032441038523709366;-0.00011688944332461718;0.0015740829717545554;0.0;-0.00014279265881181113;0.01019359669451604;0.013684535537376715;0.0006546817992890542;0.00010004715610744162;0.005734026071687214;0.014617562728922912;-0.0199592430021034;-0.006607236803147171;0.019040835275110475;-0.003108684590293808;0.024240603969109587;0.02412055674372073;-0.005865063270686813;-0.010968922942314233;0.01439442588496669;0.011669069812505022;-0.010290374405204637;0.061908303918002276;0.014555500306575236;-0.010804031613266473;-0.01267243022865341;0.0017048791662990581
2010-01-06;0.00037748528635465445;0.009670042828101705;-0.0012165727173940562;0.00990119464270477;0.003074023992688589;0.001045881952130422;-0.002102857696350644;0.017325289915407743;0.0;-0.015118089533793797;-0.011365385949034345;0.00036741596319279094;0.0017419638827225502;0.027463997421658358;0.0;0.0031052554031897705;-0.007151028560204381;0.0039206716221606135;-0.011762549666683702;-0.012532288345505592;0.011273627678421974;0.004661910635351815;-0.0031191793506853928;0.0011305269010972161;-0.0023876628921913508;-0.012905012670417233;-0.0019721729782786017;0.014521507110190695;0.011659495796953748;-0.0030742986243620547;0.0041168050081919014;0.027555741857314645
2010-01-07;0.016089996888379327;0.0033416635219233014;0.003157796486821288;0.009803964571989957;0.0193775866895163;0.008847291134880586;-0.002342066590446633;0.023426696404264247;0.0;0.0008700350048968967;0.0032187842106830467;0.014098270146311914;0.0010871039052589488;0.014895498158297719;-0.008613188824921781;0.019442794461847584;0.0;0.011428771146172087;0.007604574229112432;-0.006613942007169921;-0.007840205934443891;-0.014051566011519405;0.008984242621372254;-0.0022626063723433323;0.01833234800079061;-0.003718456293489977;-0.009047887231404022;-0.007519179483255622;0.03837656327627513;-0.011911628738664595;0.0037287101996042013;0.025686359241244145
2010-01-08;-0.006330271178422408;0.02958318912685046;-0.006203846868499996;0.00901834579518556;0.010108560204703871;0.07628922695669187;-0.0016424672936468541;-0.014194285191211117;0.0;-0.0072737824858956825;-0.005272385398251003;-0.00556680943950829;0.005418805417970897;0.0023014268147715858;-0.010143577105200755;0.003793088424003066;-0.0029801262240795197;-0.0053334110554263;-0.010662670417623851;-0.0020214652301689864;-0.0044532644739618986;0.009389655376167491;0.02580787725385452;-0.020017627036302128;-0.003816143563103715;-0.014696679521311004;0.004720271077421092;0.005270475063256554;0.008133994823109572;0.001915224253603973;0.001487062313167071;0.0014525947163497935
2010-01-11;-0.03535828422411617;-0.02417660536356883;-0.005137087050634909;-0.026593540650229633;-0.030637752754651304;-0.005777522288976272;0.006087391580444149;-0.004947431575601064;0.0;-0.007915733917983668;-0.008849739728249395;-0.015655871967768676;-0.01327389257603909;-0.010205194746806171;-0.009953217460086806;-0.03623661539979624;-0.005810302577662011;-0.01370551808219851;-0.027165078560601897;0.0031749843752070612;-0.021916361267614277;-0.03664465648268256;-0.03271153198498152;-0.014547908818215403;-0.001767206970860299;-0.018921236247767426;-0.01687024596549179;-0.02527909550676399;-0.009329819112416335;-0.013243899050450246;-0.03247930833790431;-0.03512595739776205
2010-01-12;-0.012461125864664097;0.01645445585497434;0.010612953844309473;0.000354460365726844;0.014679492567013168;-0.017535836313215224;0.005702612461945343;-0.007209148383930888;0.0;-0.009760336939839668;-0.0005927034367816641;0.009813490177577006;-0.01090282952222344;-0.02906150792355815;-0.0056055012254552835;-0.024372062050613416;-0.007800291019972109;0.002461288412809277;-0.016260578416923258;0.003165035261281665;0.029032255914921923;-0.011211433907746563;0.017511090216571348;0.012523845887165486;0.006753242711125409;0.00592155818200663;-0.0058138929677510436;0.005758560594777457;0.0023902805838024906;0.009409688723856677;-0.004230898417664097;-0.004856328924130925
2010-01-13;0.010912025609942137;0.02059438779735036;-0.007919110456054349;0.008823054113716328;0.014467118845018848;0.06653267408346707;0.0005803021303653661;0.010453346819929604;0.0;-0.004169683234534254;0.009148701097002304;0.012374216195327931;-0.006331375592791345;0.00417531232923256;0.015267392390850747;-0.005108575306039995;0.007800291019972051;0.012458879426530305;0.012318966980142353;-0.004895813340270093;0.001897157823904528;0.04785609039042926;-0.0027267090060763667;-0.006970537907545147;0.010192190175420623;0.006362312514215075;0.01034058565070377;0.020268830006572314;0.015987620377092768;0.009557886577149857;0.024370620004083885;0.13615047396440033
2010-01-14;0.0011621250575203882;-0.0007997554924191368;-0.021764224610324387;0.013957001878245605;0.0007459327260373929;0.017094698556336364;-0.011783471304389342;-0.03734037010293068;0.0;-0.013673265159491544;-0.02257978526249739;-0.012862521056307094;-0.024021281332396657;-0.02766076465443192;-0.0029178745929909415;-0.016304438754241802;0.007914788304866026;0.018997993785214995;0.0059065625185136085;-0.013368449133335179;-0.024563021409303585;0.011152407981529396;0.006463805326136765;-0.010548049641618084;0.0;-0.018725072817829543;-0.016954017586031777;-0.03686283863602502;-0.015788733198128006;-0.01848154613607671;-0.00944924063255927;-0.017583111407220794
2010-01-15;-0.013642690470266337;-0.004409672670316497;0.008712783808523646;0.01921809526954711;0.008167785752773712;-0.019626348733945507;0.008181513364384246;-0.0030129067365375502;0.0;0.004227079934049037;0.0030003445558636874;0.000854170939338521;0.01663964173347906;-0.010663493391153927;-0.006449994741467298;-0.006872895495264849;-0.004741465181765247;0.007120765404323331;0.002352978386596784;0.000585126822791971;0.017333865121172548;-0.00463180147333465;-0.006805076942497935;0.009381304644002508;0.0;-0.0025884425517003267;0.012679440101155787;0.009875196077326426;0.003970660151689695;-0.020320922109485034;0.0007603948158695019;0.052868834620301675
