Date;AC.PA;ACA.PA;AI.PA;AIR.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CS.PA;DG.PA;FP.PA;GLE.PA;KER.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RNO.PA;SAF.PA;SAN.PA;SOLB.BR;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-01-26;806762.0;8533288.0;1391652.0;1860926.0;2223547.0;4545744.0;2981075.0;988136.0;10179717.0;1836761.0;6908671.0;4372620.0;332963.0;188901.0;1947558.0;1398814.0;1064678.0;765725.0;9742325.0;603228.0;589067.0;3571522.0;444395.0;3774633.0;487661.0;1841394.0;322318.0;3375208.0;1889315.0;4165052.0
2010-01-27;1377441.0;6832921.0;1178378.0;2691939.0;2075159.0;5214984.0;3059523.0;947085.0;7537725.0;1612714.0;7476841.0;4476194.0;388787.0;379898.0;1190636.0;1239611.0;1156976.0;750171.0;9114874.0;625240.0;761022.0;3877090.0;348368.0;3468249.0;284517.0;2371864.0;469504.0;3247403.0;1611250.0;5661872.0
2010-01-28;1059393.0;7508001.0;1616232.0;3249197.0;3394280.0;5374672.0;2702977.0;1639696.0;9182780.0;1767936.0;8276835.0;5290498.0;577584.0;299513.0;687727.0;1318923.0;1121582.0;966634.0;9887412.0;933612.0;562090.0;4270262.0;689107.0;3581821.0;294033.0;2793636.0;379384.0;3746010.0;1594554.0;6249187.0
2010-01-29;807009.0;7795894.0;1345222.0;2306668.0;2661001.0;4555529.0;2229207.0;1435238.0;12456250.0;2051535.0;7733803.0;5202764.0;382355.0;354743.0;452116.0;1027263.0;955137.0;669432.0;10147044.0;735924.0;646227.0;2400035.0;468746.0;4701275.0;240069.0;2361186.0;342868.0;3721127.0;2632887.0;7436637.0
2010-02-01;691301.0;5623963.0;1290660.0;2068752.0;2428555.0;4175585.0;1762410.0;923822.0;5451161.0;1667843.0;5717503.0;4145487.0;240768.0;320604.0;337139.0;803999.0;1008042.0;589994.0;9052016.0;652346.0;840883.0;2203756.0;536803.0;3345168.0;204891.0;1635644.0;244441.0;3173763.0;1839798.0;12714859.0
2010-02-02;901877.0;6427682.0;1397838.0;1948105.0;1723231.0;3858803.0;1463006.0;1039498.0;8336692.0;1590231.0;8531488.0;4807921.0;383267.0;270000.0;544927.0;1081405.0;840314.0;694324.0;9262367.0;704229.0;778258.0;2145952.0;582061.0;2476272.0;245837.0;1662124.0;520076.0;2958620.0;2090520.0;6887778.0
2010-02-03;1036187.0;10186714.0;1246400.0;2468129.0;2543780.0;3039752.0;1276168.0;871520.0;8219712.0;3156243.0;5711112.0;4144160.0;448248.0;275747.0;543473.0;1148420.0;970121.0;693754.0;7302453.0;553693.0;889330.0;2433339.0;476686.0;3169675.0;173593.0;1950670.0;508877.0;2673346.0;1536648.0;6598735.0
2010-02-04;1609776.0;15836549.0;1317590.0;2732458.0;2738839.0;6187118.0;2743968.0;1050168.0;9094232.0;2523305.0;7310050.0;8297879.0;624359.0;274793.0;535900.0;1636761.0;1122171.0;897069.0;12627257.0;1086768.0;756696.0;2579302.0;869582.0;3480419.0;239782.0;3362292.0;505652.0;3324500.0;2042128.0;6896513.0
2010-02-05;2291295.0;15687190.0;2453917.0;4673569.0;4298280.0;10493710.0;4735893.0;1503732.0;18884326.0;4642031.0;13653747.0;8179808.0;780967.0;635211.0;719986.0;2625236.0;2099629.0;1497231.0;16239543.0;1489142.0;1166985.0;4696419.0;909070.0;7230154.0;280685.0;4068994.0;1014143.0;5184846.0;2879114.0;10370125.0
2010-02-08;1311946.0;13199603.0;2048824.0;3001302.0;2202838.0;6020771.0;2623342.0;1108452.0;9960070.0;2197673.0;7206580.0;5676320.0;437164.0;605545.0;471568.0;1355098.0;1266093.0;796587.0;10522694.0;656581.0;651368.0;4100843.0;541231.0;3834453.0;192959.0;2214358.0;750182.0;4704296.0;2003977.0;5333149.0
2010-02-09;1299068.0;10608945.0;1579621.0;3168176.0;3363524.0;5602149.0;2579358.0;1031417.0;9429574.0;2270064.0;7817618.0;5254517.0;389886.0;427997.0;740841.0;1392001.0;1070113.0;861194.0;8698468.0;691388.0;705165.0;3655739.0;579562.0;4164248.0;226747.0;2347192.0;514188.0;3824451.0;2168618.0;4929936.0
2010-02-10;913959.0;12608213.0;1136983.0;2177198.0;2577257.0;5726461.0;2472218.0;1941681.0;10922247.0;2047413.0;8745859.0;6534250.0;407680.0;421246.0;554628.0;1098841.0;933546.0;1045461.0;9108971.0;786583.0;718105.0;3729144.0;639675.0;5720391.0;241566.0;2534286.0;318883.0;7620299.0;2298285.0;5479369.0
2010-02-11;1189830.0;9378870.0;1344320.0;2007180.0;5576519.0;5171927.0;2398766.0;1359542.0;8905276.0;2008680.0;10466203.0;5222254.0;531517.0;309489.0;1167059.0;1229958.0;1817731.0;863810.0;8537286.0;726062.0;1421056.0;8262910.0;733106.0;5902227.0;198474.0;2152736.0;497186.0;5815893.0;1960682.0;6201415.0
2010-02-12;1419204.0;9160471.0;1648069.0;2290937.0;3524191.0;4530565.0;1603477.0;1041336.0;6570419.0;2295490.0;7125154.0;4433765.0;423722.0;190640.0;662400.0;1367327.0;3373338.0;884226.0;5709139.0;716161.0;801348.0;6845505.0;671907.0;3205524.0;303151.0;2223244.0;659884.0;7280224.0;1389252.0;4985626.0
2010-02-15;701067.0;4549023.0;1539557.0;1692329.0;2031646.0;2145850.0;1258611.0;442720.0;3782191.0;1062879.0;3297264.0;1809798.0;134603.0;166584.0;531419.0;744264.0;811608.0;703646.0;3917918.0;509408.0;394695.0;3779022.0;339297.0;1827435.0;149468.0;974232.0;219945.0;3125932.0;653655.0;2375356.0
2010-02-16;1388838.0;6018597.0;1702818.0;1869954.0;2750933.0;4087048.0;1807171.0;1229277.0;5920597.0;1652473.0;5698486.0;3930851.0;353909.0;197697.0;555859.0;1067938.0;1111283.0;3701785.0;6799254.0;813529.0;741952.0;3248122.0;570134.0;2882975.0;304441.0;1761996.0;326809.0;4411471.0;1392333.0;4122135.0
2010-02-17;1983566.0;7378919.0;2188505.0;4296443.0;2528949.0;6467431.0;3289111.0;1430192.0;8364506.0;2004637.0;6854392.0;4239371.0;589204.0;166476.0;757299.0;1283196.0;1110600.0;1492863.0;7932039.0;2460431.0;732563.0;2965094.0;735493.0;4125377.0;247469.0;3148452.0;346193.0;4143678.0;1463954.0;4699353.0
2010-02-18;1077183.0;5663203.0;1313395.0;2158668.0;3612534.0;5138448.0;1970374.0;5316177.0;7404895.0;1428166.0;4839048.0;11879505.0;936659.0;358775.0;996041.0;1386158.0;1385340.0;932908.0;6216596.0;1172608.0;1335657.0;4063185.0;680069.0;2655986.0;329234.0;4433738.0;206385.0;4455792.0;1140827.0;3897375.0
2010-02-19;1519427.0;5562213.0;1282973.0;2347070.0;3966603.0;4898939.0;4735415.0;1423870.0;8409722.0;1374827.0;6160529.0;6547543.0;620776.0;226465.0;416645.0;1212197.0;890978.0;951152.0;6796092.0;938767.0;785596.0;2562203.0;801304.0;3252556.0;207775.0;3211178.0;711166.0;2240330.0;1273567.0;6605794.0
2010-02-22;1207518.0;5553256.0;1068227.0;2762829.0;1704516.0;3941300.0;2582074.0;1564205.0;7043559.0;1348300.0;4277810.0;4085059.0;714048.0;202122.0;266800.0;953215.0;767565.0;536912.0;5971310.0;648138.0;848559.0;2101579.0;762848.0;3140482.0;205605.0;2303630.0;339250.0;3197075.0;1527515.0;3937351.0
2010-02-23;1648354.0;6352663.0;1487884.0;3089515.0;2211148.0;4578363.0;2645980.0;1426175.0;8017414.0;1525381.0;6503190.0;4286208.0;557778.0;181328.0;304600.0;885065.0;1164586.0;1384218.0;7062921.0;888929.0;771192.0;4776602.0;713208.0;3607448.0;199966.0;2729262.0;583768.0;4293539.0;1535848.0;4500174.0
2010-02-24;3232757.0;5848341.0;1086850.0;4127928.0;1773457.0;3481610.0;2182601.0;1720077.0;5759501.0;1310878.0;5995260.0;3527907.0;566741.0;256447.0;439795.0;661167.0;1220432.0;918086.0;6186961.0;676574.0;651463.0;2980598.0;992614.0;2866216.0;197227.0;2116220.0;421273.0;3991945.0;1752001.0;4377084.0
2010-02-25;1499281.0;12693918.0;1273892.0;2412131.0;2168042.0;3289541.0;2742071.0;1452130.0;9223207.0;2363682.0;8670741.0;5004979.0;433236.0;249616.0;420948.0;985516.0;1081301.0;1269960.0;18516831.0;579563.0;659452.0;6098875.0;5375990.0;4692171.0;356099.0;1998022.0;702675.0;6016650.0;2664582.0;5105643.0
2010-02-26;1309499.0;9693068.0;3279900.0;2724588.0;2718755.0;4237242.0;2907227.0;1098304.0;9064132.0;2665392.0;7382331.0;4295374.0;710984.0;373332.0;928949.0;1489975.0;828836.0;985982.0;10721343.0;785424.0;1113303.0;3634000.0;2998822.0;4153790.0;383199.0;2467566.0;426463.0;3033925.0;3088710.0;5007016.0
2010-03-01;1625906.0;5837258.0;1693717.0;1744188.0;1832293.0;3693250.0;3345790.0;1601999.0;7820181.0;2278949.0;5300718.0;3308856.0;529698.0;279822.0;1501200.0;1299507.0;689473.0;736677.0;8162585.0;886433.0;825810.0;3021480.0;1303097.0;3034866.0;255902.0;2140088.0;534494.0;2582638.0;2097974.0;9832640.0
2010-03-02;1991866.0;6768104.0;1195312.0;1447372.0;1925241.0;2678894.0;3328446.0;2330523.0;7232658.0;1722295.0;4453873.0;3242333.0;455864.0;314000.0;472944.0;1126981.0;826672.0;2259226.0;5615634.0;1405632.0;582452.0;3537010.0;1379501.0;2149775.0;207316.0;1592246.0;612350.0;4479689.0;2085485.0;5101725.0
2010-03-03;1548564.0;4921166.0;1597154.0;1620058.0;2139761.0;3001625.0;2308156.0;1065143.0;7503763.0;1421607.0;4969070.0;3880465.0;435023.0;306791.0;611795.0;1216536.0;749911.0;1105972.0;6497294.0;722354.0;995249.0;2877783.0;896973.0;2056625.0;186453.0;1738558.0;432804.0;3985418.0;2261643.0;4265758.0
2010-03-04;1540725.0;6346519.0;1330191.0;2614279.0;2638101.0;4032133.0;2860568.0;1133102.0;5454377.0;4886559.0;5559140.0;4946626.0;534688.0;181168.0;1152310.0;1158492.0;749188.0;987506.0;7901301.0;690381.0;682588.0;2978552.0;1715782.0;2546407.0;176982.0;1721216.0;429235.0;5534611.0;1544378.0;5701305.0
2010-03-05;1242777.0;9180703.0;1367834.0;2202256.0;2856658.0;4196708.0;2379449.0;879856.0;9035099.0;2662346.0;6794107.0;5431321.0;374301.0;294355.0;1095600.0;1607864.0;840341.0;934939.0;8009873.0;866873.0;734511.0;3319606.0;1012133.0;2824574.0;170385.0;2155648.0;322920.0;3159595.0;7798343.0;6279686.0
