Date;AC.PA;ACA.PA;AI.PA;AIR.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CS.PA;DG.PA;FP.PA;GLE.PA;KER.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RNO.PA;SAF.PA;SAN.PA;SOLB.BR;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-01-04;22.326075;9.936727000000001;44.880932;12.437354;35.031096999999995;42.603958;26.818718;27.799234000000002;10.88927;29.339160999999997;29.41058;40.45071;70.664955;20.005932;16.880499;66.18959;41.937305;68.60105899999999;10.253588;24.808203;52.735519;31.505499;11.785363;21.312815;54.090031;31.318687;33.044453000000004;16.205883;15.410857;11.861494
2010-01-05;22.188323999999998;10.087811;43.983288;12.397347;34.72715;42.522087;27.45369;28.145164;11.07076;29.563007;29.445890000000002;40.189037;69.63364399999999;20.043492999999998;16.942484;65.878395;42.997009000000006;67.509697;10.230495;24.509667999999998;51.452453999999996;31.596220000000002;12.354868;21.031145000000002;53.833641;31.166748;33.077202;16.34796;15.529656;11.858687
2010-01-06;21.924225;10.266012;43.712418;12.508475;34.723091;42.589073;27.252544;28.703653000000003;11.184188;29.970345000000002;29.465173999999998;40.193058;68.780998;19.647406;16.83091;66.517578;43.584022999999995;66.916756;10.198741;24.458488;52.015957;32.37149;12.282618;20.910971;53.833641;30.847675;34.395546;17.392019;15.757351000000002;11.731255
2010-01-07;21.700371;10.269888;43.659271000000004;12.632939;34.65015;43.33337;26.944921;28.403565999999998;11.057795;29.981358;29.516546;41.312218;68.992134;19.507407999999998;16.897028;67.274521;43.431583;67.097206;10.071725;24.931881;51.461124;32.738499;12.244366000000001;21.016123;54.681011;30.786897999999997;33.417027000000004;17.646420000000003;15.942148999999999;11.695245
2010-01-08;21.714706;10.436467;43.797356;12.757401;34.569092;44.360512;27.209162;28.524437;11.093445;30.407035999999998;29.548651;41.932190000000006;71.184669;19.507407999999998;17.091248;68.182846;43.873737;66.762062;10.005331;25.038498;51.071003000000005;32.482826;12.354868;20.899704;53.919102;30.509597999999997;33.519379;17.514231;16.565845;11.556761999999999
2010-01-11;21.576954;10.370610000000001;43.526485;12.872972;34.51236;43.735294;26.802940000000003;28.466086999999998;11.035110000000001;30.238236999999998;29.709203999999996;42.028805;71.899292;19.449360000000002;17.000335999999997;68.712723;44.597958;67.028458;9.985126;25.115265;50.715561;32.338493;12.677871000000001;21.061193;52.895512;30.653952;33.478439;17.606783;16.701141;11.578917
2010-01-12;21.100482999999997;10.01033;43.303459000000004;12.535146000000001;34.723091;43.519451000000004;26.672790999999997;28.216016999999997;10.937883;29.768518;29.317453000000004;41.602074;70.64872700000001;19.336681;16.768926999999998;66.736267;43.294296;66.598793;10.016879;24.944675;51.391766;31.637461;12.269867999999999;20.967306;52.591319999999996;30.14115;32.897053;17.167278;16.546047;11.426578
2010-01-13;21.192291;9.886364;43.765484;12.539589999999999;34.921669;43.206841;27.508905;28.557777;10.931402;30.062088;28.999546000000002;40.410454;72.638245;19.186435999999997;16.810251;67.240883;44.056705;67.59562700000001;10.048633;24.961729000000002;52.015957;32.569431;12.486619000000001;21.098748999999998;53.902302;29.966421;33.535763;17.266422;16.585644;11.534606
2010-01-14;21.407597;9.994835;43.420269;12.650717;34.94194;43.660866;27.288044;29.291309000000002;11.031869;30.436394;28.816519;40.579533000000005;72.898117;19.336681;17.020998000000002;67.333405;45.970261;67.45813000000001;9.999557000000001;25.162178;51.998631;32.631279;12.452618;21.372904000000002;53.395283;30.277898999999998;33.077202;17.619963000000002;16.85294;11.645381
2010-01-15;21.264059;10.006457000000001;42.48547;12.828521;34.532619;42.060615999999996;28.262199;28.245188;10.785563;30.047413;28.132557000000002;39.472454;71.801826;19.490334;17.347454;66.786728;45.756756;66.693329;9.866767999999999;24.910559;51.781887;31.83952;12.53337;21.350365;52.388565;29.768894;32.721004;16.982267;16.588943;11.432133
2010-01-18;21.470728;9.870869;42.857254;13.077444999999999;34.816307;41.934082000000004;29.106194;28.161834999999996;10.817972;30.073090000000004;28.604589;39.053776;73.141724;19.398139999999998;17.471422;67.96418;45.840621999999996;68.09405500000001;9.872542999999999;25.507626000000002;52.146;32.396233;12.448369;21.282768;52.439201000000004;30.14875;32.766045;17.150801;16.654943;11.202166
2010-01-19;21.350163000000002;9.917356;43.579628;13.161903;35.339096000000005;42.105270000000004;29.398046;28.807848;10.850381;30.487771999999996;28.938543;38.743793;74.270477;19.466433;17.603657000000002;69.04911;45.528023;68.644012;9.985126;25.281591;52.085316;31.670446000000002;12.444119;21.665834;52.46818199999999;30.388052000000002;32.536770000000004;17.051657000000002;16.773741;11.312999000000001
2010-01-20;21.367352;9.770144;42.490768;13.170794;34.844669;40.94416;28.435728000000005;28.957884000000004;10.578147999999999;29.790535;28.508253000000003;37.842026000000004;72.760048;19.155704;17.59539;67.190414;44.552193;67.33783000000001;9.820582;25.486301;51.235718;30.449814;12.495118;21.282768;52.72897;29.514395;32.675976;16.751026;16.529543;11.016568
2010-01-21;21.310005;9.421488;41.805640999999994;12.80185;34.771729;39.87236;28.025558;28.532771999999998;10.370735;29.408886;28.161448999999998;36.046543;71.61506700000001;19.070345;17.884651;65.97090899999999;43.888962;66.985497;9.771506;25.119532;51.175034000000004;29.773514000000002;12.422869;20.760745999999997;52.091557;29.233307;32.246071;16.519787;16.549343;10.914093
